,part_number,description_x,qty,unit,location,tracking,expiration,lot,available_x,data_available,data_available_flag,part,description_y,uom,onhand,allocated,notavailable,dropship,available_y,onorder,committed,short,Commited_flag
590,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,820.00,ea,Stock Bin # B7,"Lot#: U210690
",,"U210690
",1,0,0,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,ea,"6,731.00",0.00,0.00,0.0,"6,731.00",0.00,0.00,0.00,0
591,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,"3,660.00",ea,Stock Bin # B7,"Lot#: U204238
",,"U204238
",1,0,0,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,ea,"6,731.00",0.00,0.00,0.0,"6,731.00",0.00,0.00,0.00,0
592,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,430.00,ea,Stock Bin # B7,"Lot#: U204674
",,"U204674
",1,0,0,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,ea,"6,731.00",0.00,0.00,0.0,"6,731.00",0.00,0.00,0.00,0
593,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,380.00,ea,Stock Bin # B7,"Lot#: U203359
",,"U203359
",1,0,0,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,ea,"6,731.00",0.00,0.00,0.0,"6,731.00",0.00,0.00,0.00,0
594,PS#10312-ALPHA,250cc White PET Bottle 45-400,50.00,ea,Stock Bin # C13,"Lot#: M197239
",,"M197239
",1,0,0,PS#10312-ALPHA,250cc White PET Bottle 45-400,ea,50.00,0.00,0.00,0.0,50.00,0.00,0.00,0.00,0
595,PS#10312-AMCOR,250cc White PET Bottle 45-400,50.00,ea,Stock Bin # C13,"Lot#: 3441402
",,"3441402
",1,0,0,PS#10312-AMCOR,250cc White PET Bottle 45-400,ea,"1,325.00",0.00,0.00,0.0,"1,325.00",0.00,0.00,0.00,0
596,PS#10312-AMCOR,250cc White PET Bottle 45-400,"1,095.00",ea,Stock Bin # C13,"Lot#: 20101614
",,"20101614
",1,0,0,PS#10312-AMCOR,250cc White PET Bottle 45-400,ea,"1,325.00",0.00,0.00,0.0,"1,325.00",0.00,0.00,0.00,0
597,PS#10313,"Circle Inventory Control Labels - ""PARTIAL"", 2""",10.00,ea,Warehouse Floor,"Lot#: S-11401
",,"S-11401
",1,0,0,PS#10313,"Circle Inventory Control Labels - ""PARTIAL"", 2""",ea,10.00,0.00,0.00,0.0,10.00,0.00,0.00,0.00,0
598,PS#10314,Peppermint Twist ScentCerts TABS - 2 gram Heart Shaped scented desiccant,"2,000.00",ea,Stock Bin # C38,"Lot#: 520001605-1020
",,"520001605-1020
",1,0,0,PS#10314,Peppermint Twist ScentCerts TABS - 2 gram Heart Shaped scented desiccant,ea,"2,000.00",0.00,0.00,0.0,"2,000.00",0.00,0.00,0.00,0
599,PS#10320,.05x205x190 Clear No Perf Cutband,"3,000.00",ea,Stock Bin # B32,,,,1,0,0,PS#10320,.05x205x190 Clear No Perf Cutband,ea,"3,000.00",0.00,0.00,0.0,"3,000.00",0.00,0.00,0.00,0
600,PS#10322,15x15x12 Box,13.00,ea,Stock Bin # C40,,,,1,0,0,PS#10322,15x15x12 Box,ea,13.00,0.00,0.00,0.0,13.00,0.00,0.00,0.00,0
601,PS#10324,14x14x18 Box,31.00,ea,Warehouse Floor,,,,1,0,0,PS#10324,14x14x18 Box,ea,31.00,0.00,0.00,0.0,31.00,0.00,0.00,0.00,0
602,PS#10325-ALPHA,175cc Dark Amber PET Bottle 38-400,815.00,ea,Stock Bin # C3,"Lot#: U202049
",,"U202049
",1,0,0,PS#10325-ALPHA,175cc Dark Amber PET Bottle 38-400,ea,"1,179.00",0.00,0.00,0.0,"1,179.00",0.00,0.00,0.00,0
603,PS#10325-ALPHA,175cc Dark Amber PET Bottle 38-400,364.00,ea,Stock Bin # C3,"Lot#: 13536431
",,"13536431
",1,0,0,PS#10325-ALPHA,175cc Dark Amber PET Bottle 38-400,ea,"1,179.00",0.00,0.00,0.0,"1,179.00",0.00,0.00,0.00,0
604,PS#10331,"Foam Cups - 6oz - 1,000/case",8.00,ea,Warehouse Floor,,,,1,0,0,PS#10331,"Foam Cups - 6oz - 1,000/case",ea,8.00,0.00,0.00,0.0,8.00,0.00,0.00,0.00,0
605,PS#10332,80oz 120-400 HDPE Canister - Black,867.00,ea,Stock Bin # C1,"Lot#: CPI-80120B
",,"CPI-80120B
",1,0,0,PS#10332,80oz 120-400 HDPE Canister - Black,ea,867.00,0.00,0.00,0.0,867.00,0.00,0.00,0.00,0
606,PS#10333,750cc White HDPE Bottle 53-400,106.00,ea,Stock Bin # C5,"Lot#: C82278532
",,"C82278532
",1,0,0,PS#10333,750cc White HDPE Bottle 53-400,ea,106.00,0.00,0.00,0.0,106.00,0.00,0.00,0.00,0
