,part_number,description_x,lot,qty
926,R1203,Betaine HCl (1% Silica),"20190201
",6.00
17,CS#5215,Blackstrap Molasses Powder,"668
",6.00
395,PS#10165,"6 x 8"" 4 Mil White Block Reclosable Bags 1,000/carton",,6.00
295,PS#10046,Clear bags 33 x 39 0.43 MIL 33gal - 500 / case,,6.00
683,R027,Vitamin B3 Niacinamide,"NM2006058
",6.00
803,R1055,Riboflavin 5 Phosphate,"2020007A
",6.00
652,PS#10416,"Uline Industrial Vinyl Safety Tape - 2"" x 36 yds, Red",,6.00
487,PS#10235,".05x77x500M Roll Clear w/black print ""S4YP""","10235
",6.00
486,PS#10235,".05x77x500M Roll Clear w/black print ""S4YP""","09-25-2021
",6.00
551,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","202109618447
","6,809.00"
504,PS#10253,COMAR - 225cc Dark Amber PET Bottle 45-400 (PX),"23786293
","6,700.00"
196,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P211313
","6,225.00"
193,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P211313
","6,225.00"
197,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P212048
","6,225.00"
198,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P211316
","6,225.00"
43,CS#5276,150cc Amber Glass W/M Packer 45-400 24/case,"217367
","6,048.00"
425,PS#10198,300cc Black PET W/M Packer 45/400,"F190541
","6,000.00"
305,PS#10065,10 gram Desiccants,"12/08/2021
","6,000.00"
614,PS#10366,3x5 Yellow Warehouse Box label (S-458-2),,"6,000.00"
1279,R452,Sarsaparilla Extract 4:1,"SA210326
",599.88
888,R115,Maltodextrin,"20040933
",599.88
666,R013,Maca Root Extract 0.6%,"MK-210802
",599.88
472,PS#10227-COMAR,250cc Cobalt Blue PET W/M RND 45/400,"11443526
",590.00
49,CS#5280,Bovine Collagen A,"210504B
",59.88
507,PS#10253,COMAR - 225cc Dark Amber PET Bottle 45-400 (PX),"12535130
",59.00
260,PS#10020,MRP-38-400 Red Ribbed Lid - Pressure Sensitive Liner 2900/case,"201710463123
","59,190.00"
350,PS#10109,COMAR (PW)-500cc White HDPE Bottle 45-400,"10736966
",588.00
411,PS#10183,100cc Blue PET Bottle 38-400,,580.00
482,PS#10231-COMAR,300cc Blue PET 45/400 bottle (PZ),"22741697
",575.00
244,PS#10016,ALPHA-200cc Clear PET Bottle 38-400 335/case,"F201258
",574.00
972,R1245,L-Leucine (Vegetarian Source),"L2009002
",57.908
1141,R230,Green Coffee Bean Extract 50%,"JLKFD-T-908258
",56.895
308,PS#10069,10x10x10 DW boxes,,555.00
1267,R442,Methylene Chloride,"84852-01
",55.00
5,CS#5170,Deep Sea Salt,"22084
",55.00
1455,R829,Organic Ginger Root Powder,"ZL20210726PZ
",549.88
173,L#503,Mimi's Rock Corp - Dr. Tobias Adult Multivitamin - 100 ct Label,,540.00
812,R107,Eleutherococcus (Siberian Ginseng) Powder,"CCWJ-C-A002095
",54.90
357,PS#10116,BERRY-53-400 White Lid - Pressure Sensitive liner 1525/case,"C78296205
",535.00
228,PS#10009-ALPHA,150cc White PET Bottle 38-400,"P211372
",534.00
94,FG316,Magnesium Glycinate - Sample Bottle 60ct,"11276
",53.00
535,PS#10282,300cc Light Amber PET Bottle 45-400,"11051966
",524.00
1466,R842,Organic Yellow Maca Powder (Gelatinized),"OMGY201809-26
",520.175
427,PS#10198,300cc Black PET W/M Packer 45/400,"U073022
",52.00
267,PS#10024,38-400 White Ribbed Lid - Heat Induction Liner Shiny Top 2900/case,"202107613289
","52,643.00"
970,R1244,00EL Vcaps (elongated veg capsules),"9044078
","52,000.00"
147,L#413,NatureGenX Sea Moss + Elderberry + Fulvic Minerals - 60ct - TC Best,"10-21-2021
",519.00
624,PS#10376,"Pleated Air Filters - 20 x 20 x 1"", MERV 8",,516.00
461,PS#10219-COMAR PX,225cc Cobalt Blue PET Bottle 45-400 335/cs,"21665946
",512.00
255,PS#10019,38-400 White Ribbed Lid - Pressure Sensitive Liner 2900/case,"201909545114
",510.00
492,PS#10247,150cc Black PET Bottle 38-400 (PX-Short Style),"8089454
",510.00
443,PS#10211-ALPHA,150cc Blue PET Bottle 38-400 (Tall Skinny),"U191407
",509.00
139,L#322,"Dr. Barry's Remedies, Emotional Ease - 120 ct",,502.00
495,PS#10248,45mm CRC BLACK PICTORIAL (021) HS035.020 FOAM PRINTED SFYP,"201911552596
",500.00
499,PS#10252,COMAR - 300cc Dark Amber PET Bottle 45-400,"21877218
",500.00
496,PS#10248,45mm CRC BLACK PICTORIAL (021) HS035.020 FOAM PRINTED SFYP,"202001559127
",500.00
602,PS#10350,Airlite - 8.5 cc Natural Short Handle Scoop,"2612631
",500.00
1572,R991,0 Gelatin Black Op Body 1975 and Gray OP Cap 7989 Capsules,"7166816
","500,000.00"
575,PS#10312-ALPHA,250cc White PET Bottle 45-400,"M197239
",50.00
807,R106,Panax Ginseng Extract 4:1,"GI202011005
",50.00
606,PS#10354,8x8x5 Boxes,,50.00
