Quality Supplement Mfg,,,,,,,
On Hand,,,,,,,
 ,,,,,,,
Part Number,Description,Qty,,Location,Tracking,,
CS#5207,goBHB® Magnesium Beta-Hydroxybutyrate,42.57,kg,Expired D54,"ExpDate: 2020-09-07

Lot#: 28D-KY20180702
",,
CS#5208,goBHB® Sodium Beta-Hydroxybutyrate,8.308,kg,Expired D54,"ExpDate: 2020-06-29

Lot#: 28A-KY20180607
",,
CS#5208,goBHB® Sodium Beta-Hydroxybutyrate,40.00,kg,Expired D54,"ExpDate: 2020-05-09

Lot#: 28A-KY20180507
",,
R061,Black Pepper Extract 4:1,22.00,kg,Expired D54,"ExpDate: 2023-09-30

Lot#: PNE/16-12-374-B
",,
R1034,Codonopsis Extract 4:1,20.00,kg,Expired D54,"ExpDate: 2020-03-20

Lot#: PIR20180321-R
",,
R142,L-Carnitine Base,20.00,kg,Expired D54,"ExpDate: 2019-03-30

Lot#: CARB-170331
",,
R482,Big Jim 4 Ingredient Blend,20.00,kg,Expired D54,"ExpDate: 2019-03-11

Lot#: SB16-H112251
",,
R517,L-Ornithine Mono HCl,21.50,kg,Expired D54,"ExpDate: 2021-08-02

Lot#: 9-KY20180802
",,
R587,Hoodia Gordonii 20:1,20.00,kg,Expired D54,"ExpDate: 2019-05-06

Lot#: CA20160507-1
",,
R666,Papain (fungal),15.00,kg,Expired D54,"ExpDate: 2019-01-05

Lot#: PP/17-06-173
",,
R749,Fenugreek Extract (50% Saponins),50.00,kg,Expired D54,"ExpDate: 2021-08-01

Lot#: NIGFNGK50-1809V4371305
",,
R749,Fenugreek Extract (50% Saponins),2.461,kg,Expired D54,"ExpDate: 2021-01-22

Lot#: CHLB-A-802083
",,
R856,Raspberry Ketone P.E. 4%,23.623,kg,Expired D54,"ExpDate: 2021-04-12

Lot#: RUB20180413
",,
R931,Organic Green Tea Leaf,20.353,kg,Expired D54,"ExpDate: 2019-11-29

Lot#: TB171130-08
",,
CS#5218,Natural Nutrafinish Dietary Supplement Yellow 145B120005,25.00,kg,Expired D55,"ExpDate: 2019-09-29

Lot#: WP814753
",,
R1011,L-Citrulline DL-Malate 1:1,237.544,kg,Expired D55,"ExpDate: 2021-03-05

Lot#: C561906009
",,
R1011,L-Citrulline DL-Malate 1:1,10.325,kg,Expired D55,"ExpDate: 2021-03-15

Lot#: C561903023
",,
R1011,L-Citrulline DL-Malate 1:1,1.011,kg,Expired D55,"ExpDate: 2021-03-16

Lot#: C561903024
",,
R1058,Manganese Bisglycinate Chelate as TRAACS�,2.505,kg,Expired D55,"ExpDate: 2021-10-05

Lot#: 18278201
",,
R1083,Digestive Proteolytic Blend (Biocat),1.077,kg,Expired D55,"ExpDate: 2021-04-03

Lot#: DPB-WC31
",,
R1143,Restoridyn™ Longvida® & Pomella® Complex,8.069,kg,Expired D55,"ExpDate: 2021-10-30

Lot#: LRD1EG200D15
",,
R1160,Tartaric Acid,24.883,kg,Expired D55,"ExpDate: 2021-10-11

Lot#: 191110
",,
R1217,WILMOX™ MTP-30P Mixed Tocopherols 30%,3.808,kg,Expired D55,"ExpDate: 2021-09-12

Lot#: 190913MP01
",,
R1227,Oregano Oil Powder,11.489,kg,Expired D55,"ExpDate: 2021-01-19

Lot#: CXQF-A-802078
",,
R123,Sheep Sorrel Herb Power,0.453,kg,Expired D55,"ExpDate: 2021-02-01

Lot#: 11073
",,
R1253,Boswellia Serrata Powder,14.808,kg,Expired D55,"ExpDate: 2021-09-04

Lot#: CRX-A-802806
",,
R1268,Grape Seed Extract 98% Proanthocyanidins,20.31,kg,Expired D55,"ExpDate: 2021-09-29

Lot#: PTZ20190922
",,
R1290,Hawthorn Berry Extract 10:1,22.00,kg,Expired D55,"ExpDate: 2021-10-31

Lot#: CSZG-C-801237
",,
R219,Phosphatidylserine 20%,9.87,kg,Expired D55,"ExpDate: 2021-10-24

Lot#: PSOY101902
",,
